actual_values,predicted_values,difference
190000.0,145405.31,-44594.6875
360000.0,342189.84,-17810.15625
175000.0,202140.47,27140.46875
396900.0,386568.4,-10331.59375
246509.0,222313.17,-24195.828125
295000.0,290592.66,-4407.34375
169000.0,189972.48,20972.484375
577963.0,583381.5,5418.5
159900.0,250678.73,90778.734375
520000.0,545295.06,25295.0625
465000.0,579242.94,114242.9375
216500.0,230030.67,13530.671875
499000.0,465447.56,-33552.4375
272000.0,263078.6,-8921.40625
295000.0,371770.3,76770.3125
625000.0,550159.75,-74840.25
1595000.0,2138003.2,543003.25
346000.0,237261.39,-108738.609375
482000.0,755245.5,273245.5
307053.0,349556.7,42503.6875
395000.0,229031.95,-165968.046875
179000.0,186907.27,7907.265625
595000.0,579320.3,-15679.6875
236390.0,296113.94,59723.9375
299000.0,296051.78,-2948.21875
268449.0,301203.03,32754.03125
395000.0,485841.78,90841.78125
513279.0,525379.9,12100.875
568800.0,470044.1,-98755.90625
249000.0,256351.84,7351.84375
349999.0,234152.39,-115846.609375
390000.0,544659.5,154659.5
429000.0,499896.7,70896.6875
625000.0,841750.44,216750.4375
990000.0,953691.06,-36308.9375
199000.0,240754.12,41754.125
350000.0,338540.97,-11459.03125
455000.0,407028.9,-47971.09375
340000.0,269287.38,-70712.625
319000.0,277790.28,-41209.71875
448000.0,406267.78,-41732.21875
375000.0,295891.25,-79108.75
445000.0,554357.56,109357.5625
256455.0,254506.6,-1948.40625
268000.0,319848.22,51848.21875
675000.0,724612.3,49612.3125
195000.0,204057.31,9057.3125
285900.0,296682.84,10782.84375
389000.0,389257.0,257.0
549000.0,400025.56,-148974.4375
481931.0,510710.9,28779.90625
435000.0,444190.72,9190.71875
693000.0,618896.2,-74103.8125
264000.0,250538.84,-13461.15625
380000.0,380388.2,388.1875
341100.0,367448.56,26348.5625
325000.0,474500.28,149500.28125
300000.0,251459.83,-48540.171875
375000.0,364962.1,-10037.90625
409000.0,614080.56,205080.5625
284900.0,284058.38,-841.625
247500.0,231081.28,-16418.71875
213000.0,231348.39,18348.390625
269000.0,370065.3,101065.3125
179000.0,239822.67,60822.671875
270000.0,317443.06,47443.0625
145000.0,195996.05,50996.046875
360000.0,357446.9,-2553.09375
195000.0,180712.0,-14288.0
302000.0,296699.22,-5300.78125
1150000.0,766118.6,-383881.375
254000.0,264221.56,10221.5625
399000.0,385638.97,-13361.03125
592100.0,456923.3,-135176.6875
291400.0,269538.6,-21861.40625
450000.0,402786.38,-47213.625
249000.0,328519.66,79519.65625
399000.0,372281.47,-26718.53125
100000.0,151894.38,51894.375
260000.0,303819.94,43819.9375
327000.0,281074.38,-45925.625
445000.0,303207.2,-141792.8125
379000.0,355200.9,-23799.09375
272000.0,240957.19,-31042.8125
399000.0,368825.28,-30174.71875
310000.0,287076.2,-22923.8125
549000.0,437721.2,-111278.8125
694000.0,483461.56,-210538.4375
330000.0,314145.94,-15854.0625
99999.0,103927.266,3928.265625
182000.0,198082.66,16082.65625
345455.0,349404.75,3949.75
1199000.0,1196406.5,-2593.5
269000.0,320364.66,51364.65625
445000.0,333544.62,-111455.375
298000.0,449527.6,151527.59375
950000.0,742344.6,-207655.375
255000.0,234309.84,-20690.15625
169000.0,187825.47,18825.46875
248887.0,293909.0,45022.0
358733.0,369464.62,10731.625
275000.0,341844.72,66844.71875
270000.0,302689.28,32689.28125
385000.0,254730.27,-130269.734375
590000.0,431150.8,-158849.1875
460000.0,616968.06,156968.0625
530000.0,452518.6,-77481.40625
1400000.0,1604803.5,204803.5
149000.0,187685.25,38685.25
350000.0,321718.38,-28281.625
445000.0,424140.88,-20859.125
229000.0,229356.3,356.296875
1350000.0,1877758.2,527758.25
299000.0,351060.1,52060.09375
735000.0,660164.75,-74835.25
210000.0,247352.78,37352.78125
1590000.0,2239015.2,649015.25
130000.0,214526.94,84526.9375
575000.0,566390.2,-8609.8125
199000.0,255588.9,56588.90625
795000.0,1065923.1,270923.125
199000.0,236434.19,37434.1875
229000.0,326184.62,97184.625
512445.0,491344.94,-21100.0625
749000.0,619407.94,-129592.0625
369000.0,354282.38,-14717.625
396866.0,456539.53,59673.53125
339000.0,250301.83,-88698.171875
300000.0,328891.0,28891.0
385000.0,453188.8,68188.8125
465000.0,466574.2,1574.1875
995000.0,1213481.8,218481.75
249500.0,251444.61,1944.609375
310000.0,330618.88,20618.875
275000.0,248879.23,-26120.765625
312000.0,291658.34,-20341.65625
593377.0,576527.75,-16849.25
349000.0,311158.94,-37841.0625
1750000.0,1243928.0,-506072.0
265000.0,286927.53,21927.53125
398975.0,298963.4,-100011.59375
587000.0,553308.2,-33691.8125
320000.0,273069.94,-46930.0625
309300.0,326151.2,16851.1875
320000.0,281126.78,-38873.21875
671021.0,563526.0,-107495.0
495000.0,414135.72,-80864.28125
375000.0,315230.5,-59769.5
228000.0,368822.6,140822.59375
185000.0,195686.19,10686.1875
180000.0,252270.92,72270.921875
445000.0,364057.0,-80943.0
495000.0,209236.0,-285764.0
389000.0,429713.72,40713.71875
379500.0,457510.34,78010.34375
349000.0,393443.44,44443.4375
214000.0,216272.62,2272.625
449100.0,418576.28,-30523.71875
235000.0,230515.33,-4484.671875
295320.0,348915.06,53595.0625
419500.0,407683.53,-11816.46875
195000.0,224372.72,29372.71875
750939.0,711918.1,-39020.875
415000.0,322286.72,-92713.28125
415000.0,406151.84,-8848.15625
264000.0,317014.22,53014.21875
448250.0,498500.84,50250.84375
299500.0,344623.34,45123.34375
749000.0,794022.44,45022.4375
149900.0,170614.05,20714.046875
575000.0,732300.5,157300.5
480000.0,263005.3,-216994.6875
159000.0,242478.0,83478.0
275000.0,317362.22,42362.21875
210000.0,227723.05,17723.046875
245000.0,260706.7,15706.703125
445937.0,421821.6,-24115.40625
255000.0,226881.53,-28118.46875
275000.0,337840.47,62840.46875
269000.0,258001.6,-10998.40625
490000.0,448962.88,-41037.125
278000.0,285248.47,7248.46875
762557.0,578166.06,-184390.9375
425000.0,366227.66,-58772.34375
237500.0,255683.56,18183.5625
99000.0,93531.5,-5468.5
281286.0,290803.6,9517.59375
499000.0,438474.94,-60525.0625
288000.0,291757.2,3757.1875
299000.0,293111.1,-5888.90625
285000.0,309952.97,24952.96875
179000.0,218314.53,39314.53125
549000.0,319149.47,-229850.53125
295000.0,339067.12,44067.125
218000.0,181327.86,-36672.140625
326009.0,317580.4,-8428.59375
399000.0,351885.53,-47114.46875
650000.0,796084.7,146084.6875
360000.0,323762.97,-36237.03125
399000.0,426711.3,27711.3125
295000.0,1400271.8,1105271.75
310000.0,290232.3,-19767.6875
195000.0,244941.1,49941.09375
149000.0,234512.53,85512.53125
337645.0,332361.53,-5283.46875
649000.0,622399.6,-26600.375
436000.0,335688.56,-100311.4375
260000.0,304751.38,44751.375
845000.0,537420.75,-307579.25
349000.0,461313.7,112313.6875
249000.0,269967.0,20967.0
395000.0,418201.1,23201.09375
290000.0,229635.55,-60364.453125
432000.0,369932.94,-62067.0625
550000.0,504588.8,-45411.1875
710000.0,622031.44,-87968.5625
